"","week","year","tmra"
"270",10,2015,0.0261100793182444
"271",11,2015,0.0273828213826279
"272",12,2015,0.0283413119254138
"273",13,2015,0.0294358013827924
"274",14,2015,0.030630227577602
"275",15,2015,0.0310352023592842
"276",16,2015,0.0319321368869957
"277",17,2015,0.0330607716868118
"278",18,2015,0.0332925256251556
"279",19,2015,0.0336313222461946
"280",20,2015,0.0341349300332406
"281",21,2015,0.0341836202659058
"282",22,2015,0.0342502579219199
"283",23,2015,0.0349987741547281
"284",24,2015,0.0352890876894597
"285",25,2015,0.034794173937606
"286",26,2015,0.0344911573642285
"287",27,2015,0.0364208383575115
"288",28,2015,0.0386324793564881
"289",29,2015,0.0407925185812345
"290",30,2015,0.0424852072532121
"291",31,2015,0.0432095440780535
"292",32,2015,0.0436192147920805
"293",33,2015,0.0439148578794127
"294",34,2015,0.0436709957364809
"295",35,2015,0.0441303028944757
"296",36,2015,0.0439323751621977
"297",37,2015,0.0441034034892256
"298",38,2015,0.0439874734573878
"299",39,2015,0.044248265507856
"300",40,2015,0.0437286374557531
"301",41,2015,0.0440771882016632
"302",42,2015,0.0441467584581152
"303",43,2015,0.0443287249970884
"304",44,2015,0.0444370371536138
"305",45,2015,0.0442835276369757
"306",46,2015,0.043620896840013
"307",47,2015,0.0429847941402087
"308",48,2015,0.0428204281393944
"309",49,2015,0.0431424060932226
"310",50,2015,0.0427808616450293
"311",51,2015,0.0427487799842627
"312",52,2015,0.0410344489103265
"313",1,2016,0.0153390699786408
"314",2,2016,0.0132262901071411
"315",3,2016,0.0112951207857879
"316",4,2016,0.00922630813970876
"317",5,2016,0.0071741669375429
"318",6,2016,0.00558329395784689
"319",7,2016,0.00332260289436583
"320",8,2016,0.0021962809294199
"321",9,2016,0.00164321790193457
"322",10,2016,0.00187752489337919
"323",11,2016,0.00336466540231461
"324",12,2016,0.00403231372583829
"325",13,2016,0.00515446076153985
"326",14,2016,0.00553062052419285
"327",15,2016,0.00604759712735498
"328",16,2016,0.00642605202552557
"329",17,2016,0.00656297685379339
"330",18,2016,0.0073274047243844
"331",19,2016,0.00731510277815784
"332",20,2016,0.00792312923564164
"333",21,2016,0.00811576060387824
"334",22,2016,0.00854337531466417
"335",23,2016,0.00984016449792818
"336",24,2016,0.0100808186164553
"337",25,2016,0.0100708558250517
"338",26,2016,0.0103498893974726
"339",27,2016,0.0109759401119145
"340",28,2016,0.0111012536247211
"341",29,2016,0.0117794465867372
"342",30,2016,0.0123094997725298
"343",31,2016,0.0131016936871015
"344",32,2016,0.0133772595799439
"345",33,2016,0.0137532179957164
"346",34,2016,0.0142552296965871
"347",35,2016,0.0150046040735062
"348",36,2016,0.0162657783738119
"349",37,2016,0.016285697180083
"350",38,2016,0.0168084841370695
"351",39,2016,0.017257737630347
"352",40,2016,0.0174290208078106
"353",41,2016,0.0175816307604473
"354",42,2016,0.0176834580976402
"355",43,2016,0.0184365591015652
"356",44,2016,0.0181284309269471
"357",45,2016,0.0188913506942771
"358",46,2016,0.0200538504083901
"359",47,2016,0.0209790739759082
"360",48,2016,0.0220761753219479
"361",49,2016,0.02244169676183
"362",50,2016,0.023360420810075
"363",51,2016,0.0245352970888508
"364",52,2016,0.027393223529304
"365",1,2017,-0.000284405508620307
"366",2,2017,0.00467392433165011
"367",3,2017,0.00913025094636267
"368",4,2017,0.013578140573527
"369",5,2017,0.0168951090676426
"370",6,2017,0.017775717773822
"371",7,2017,0.0169181064331163
"372",8,2017,0.0157700996550796
"373",9,2017,0.0145941737193139
"374",10,2017,0.0135981598015686
"375",11,2017,0.0124853823455525
"376",12,2017,0.0118781439656977
"377",13,2017,0.0114549724280649
"378",14,2017,0.0113920847296602
"379",15,2017,0.011540272683205
"380",16,2017,0.0116818300371717
"381",17,2017,0.0122134352039417
"382",18,2017,0.0128607219698008
"383",19,2017,0.0133484525900001
"384",20,2017,0.014028850502709
"385",21,2017,0.0152304964961036
"386",22,2017,0.015165226522134
"387",23,2017,0.0149944915999176
"388",24,2017,0.0167770286092878
"389",25,2017,0.0188148098412725
"390",26,2017,0.018554622530969
"391",27,2017,0.018159524888405
"392",28,2017,0.0179023364188967
"393",29,2017,0.0181150747020438
"394",30,2017,0.0180014126229937
"395",31,2017,0.0191615662412599
"396",32,2017,0.0194269498148796
"397",33,2017,0.0198992605653309
"398",34,2017,0.0204147718019333
"399",35,2017,0.0208424078618559
"400",36,2017,0.0205518322361707
"401",37,2017,0.0205809441642325
"402",38,2017,0.0214377015000993
"403",39,2017,0.0226425726776009
"404",40,2017,0.0236810873712198
"405",41,2017,0.0239854699007965
"406",42,2017,0.0243992881122007
"407",43,2017,0.0243787311683714
"408",44,2017,0.024773691049685
"409",45,2017,0.0249148947805971
"410",46,2017,0.0258352213664585
"411",47,2017,0.0270936122843235
"412",48,2017,0.0278854611364432
"413",49,2017,0.0292702092601393
"414",50,2017,0.0316901876788163
"415",51,2017,0.0346109863078103
"416",52,2017,0.0387946542108015
"417",1,2018,0.000883360035411281
"418",2,2018,0.00448890213493989
"419",3,2018,0.00787417094341741
"420",4,2018,0.0103022189672409
"421",5,2018,0.0116408653747586
"422",6,2018,0.0132630493914889
"423",7,2018,0.0151247184356075
"424",8,2018,0.0163860942124695
"425",9,2018,0.018131865974916
"426",10,2018,0.0193728972164889
"427",11,2018,0.0207289511583243
"428",12,2018,0.0221802627730592
"429",13,2018,0.0237121939112202
"430",14,2018,0.0249271496631285
"431",15,2018,0.026348493210036
"432",16,2018,0.0278116617433385
"433",17,2018,0.0284548952427951
"434",18,2018,0.0282977566284287
"435",19,2018,0.0287257324442891
"436",20,2018,0.0291969812326622
"437",21,2018,0.0299396551413905
"438",22,2018,0.0302678441202187
"439",23,2018,0.0302810978321426
"440",24,2018,0.0303133197565745
"441",25,2018,0.031398715213863
"442",26,2018,0.0321079811383007
"443",27,2018,0.0321540999842288
"444",28,2018,0.0321895209847047
"445",29,2018,0.0323219491137697
"446",30,2018,0.03239023364476
"447",31,2018,0.0337875230009262
"448",32,2018,0.0358176890914023
"449",33,2018,0.0361101184030879
